AF	Афганистан
AX	Аланды
AL	Албания
DZ	Алжир
AS	Американское Самоа
AD	Андорра
AO	Ангола
AI	Ангилья
AQ	Антарктида
AG	Антигуа и Барбуда
AR	Аргентина
AM	Армения
AW	Аруба
AU	Австралия
AT	Австрия
AZ	Азербайджан
BS	Багамы
BH	Бахрейн
BD	Бангладеш
BB	Барбадос
BY	Беларусь
BE	Бельгия
BZ	Белиз
BJ	Бенин
BM	Бермудские о-ва
BT	Бутан
BO	Боливия
BQ	Бонайре, Синт-Эстатиус и Саба
BA	Босния и Герцеговина
BW	Ботсвана
BV	о-в Буве
BR	Бразилия
IO	Британская территория в Индийском океане
BN	Бруней-Даруссалам
BG	Болгария
BF	Буркина-Фасо
BI	Бурунди
CV	Кабо-Верде
KH	Камбоджа
CM	Камерун
CA	Канада
KY	Каймановы Острова
CF	Центрально-Африканская Республика
TD	Чад
CL	Чили
CN	Китай
CX	о-в Рождества
CC	Кокосовые о-ва
CO	Колумбия
KM	Коморские о-ва
CG	Республика Конго
CD	Заир
CK	Острова Кука
CR	Коста-Рика
CI	Кот-д’Ивуар
HR	Хорватия
CU	Куба
CW	Кюрасао
CY	Кипр
CZ	Чехия
DK	Дания
DJ	Джибути
DM	Доминика
DO	Доминиканская Республика
EC	Эквадор
EG	Египет
SV	Сальвадор
GQ	Экваториальная Гвинея
ER	Эритрея
EE	Эстония
SZ	Эсватини
ET	Эфиопия
FK	Фолклендские о-ва
FO	Фарерские о-ва
FJ	Фиджи
FI	Финляндия
FR	Франция
GF	Французская Гвиана
PF	Французская Полинезия
TF	Французские Южные территории
GA	Габон
GM	Гамбия
GE	Грузия
DE	Германия
GH	Гана
GI	Гибралтар
GR	Греция
GL	Гренландия
GD	Гренада
GP	Гваделупа
GU	Гуам
GT	Гватемала
GG	Гернси
GN	Гвинея
GW	Гвинея-Бисау
GY	Гайана
HT	Гаити
HM	о-ва Херд и Макдональд
VA	Ватикан
HN	Гондурас
HK	Гонконг
HU	Венгрия
IS	Исландия
IN	Индия
ID	Индонезия
IR	Иран
IQ	Ирак
IE	Ирландия
IM	о-в Мэн
IL	Израиль
IT	Италия
JM	Ямайка
JP	Япония
JE	Джерси
JO	Иордания
KZ	Казахстан
KE	Кения
KI	Кирибати
KP	КНДР
KR	Республика Корея
KW	Кувейт
KG	Кыргызстан
LA	Лаос
LV	Латвия
LB	Ливан
LS	Лесото
LR	Либерия
LY	Ливия
LI	Лихтенштейн
LT	Литва
LU	Люксембург
MO	Макао
MG	Мадагаскар
MW	Малави
MY	Малайзия
MV	Мальдивы
ML	Мали
MT	Мальта
MH	Маршалловы Острова
MQ	Мартиника
MR	Мавритания
MU	Маврикий
YT	Майотта
MX	Мексика
FM	Федеративные Штаты Микронезии
MD	Молдова
MC	Монако
MN	Монголия
ME	Черногория
MS	Монтсеррат
MA	Марокко
MZ	Мозамбик
MM	Мьянма (Бирма)
NA	Намибия
NR	Науру
NP	Непал
NL	Нидерланды
NC	Новая Каледония
NZ	Новая Зеландия
NI	Никарагуа
NE	Нигер
NG	Нигерия
NU	Ниуэ
NF	о-в Норфолк
MK	Северная Македония
MP	Северные Марианские о-ва
NO	Норвегия
OM	Оман
PK	Пакистан
PW	Палау
PS	Палестина
PA	Панама
PG	Папуа – Новая Гвинея
PY	Парагвай
PE	Перу
PH	Филиппины
PN	о-ва Питкэрн
PL	Польша
PT	Португалия
PR	Пуэрто-Рико
QA	Катар
RE	Реюньон
RO	Румыния
RU	Россия
RW	Руанда
BL	Остров Святого Бартоломея
SH	о-в Св. Елены
KN	Сент-Китс и Невис
LC	Сент-Люсия
MF	Сен-Мартен
PM	Сен-Пьер и Микелон
VC	Сент-Винсент и Гренадины
WS	Самоа
SM	Сан-Марино
ST	Сан-Томе и Принсипи
SA	Саудовская Аравия
SN	Сенегал
RS	Сербия
SC	Сейшельские о-ва
SL	Сьерра-Леоне
SG	Сингапур
SX	Синт-Мартен
SK	Словакия
SI	Словения
SB	Соломоновы Острова
SO	Сомали
ZA	ЮАР
GS	Южная Георгия и Южные Сандвичевы о-ва
SS	Южный Судан
ES	Испания
LK	Шри-Ланка
SD	Судан
SR	Суринам
SJ	Шпицберген и Ян-Майен
SE	Швеция
CH	Швейцария
SY	Сирия
TW	Тайвань
TJ	Таджикистан
TZ	Танзания
TH	Таиланд
TL	Тимор-Лесте
TG	Того
TK	Токелау
TO	Тонга
TT	Тринидад и Тобаго
TN	Тунис
TR	Турция
TM	Туркменистан
TC	о-ва Тёркс и Кайкос
TV	Тувалу
UG	Уганда
UA	Украина
AE	ОАЭ
GB	Британия
US	США
UM	Внешние малые о-ва (США)
UY	Уругвай
UZ	Узбекистан
VU	Вануату
VE	Венесуэла
VN	Вьетнам
VG	Виргинские о-ва (Великобритания)
VI	Виргинские о-ва (США)
WF	Уоллис и Футуна
EH	Западная Сахара
YE	Йемен
ZM	Замбия
ZW	Зимбабве
XK	Косово
CS	Сербия и Черногория
YU	Югославия
AN	Нидерландские Антильские острова
A1	Анонимный прокси-сервер
A2	Спутниковый провайдер
AP	Азиатско-Тихоокеанский регион
EU	Европа
ZZ	Зарезервированный
